id,city,date,high_temp,low_temp,detail_weather,humidity
201,Kagoshima,今晚7/26,26.67,,短時陣雨,88.0
202,Kagoshima,周六7/27,32.78,26.11,零星有雨和雷暴，局部地區有雷暴,80.0
203,Kagoshima,周日7/28,33.89,25.56,局部地區有雷暴，局部多雲,40.0
204,Kagoshima,周一7/29,34.44,26.11,多雲轉晴，雲量增加,4.0
205,Kagoshima,周二7/30,33.89,27.22,多雲轉晴，多雲,7.0
206,Kagoshima,周三7/31,35.0,26.67,多雲間晴，局部多雲,2.0
207,Kagoshima,周四8/1,36.11,26.11,局部晴朗，大部晴朗,3.0
208,Kagoshima,周五8/2,36.67,27.22,大致晴朗，晴朗,1.0
209,Kagoshima,周六8/3,35.56,27.78,大致晴朗，大部晴朗,3.0
210,Kagoshima,周日8/4,34.44,28.33,局部地區有雷暴，強雷暴,40.0
