id,city,date,high_temp,low_temp,detail_weather,humidity
141,Kawasaki,今晚7/26,27.22,,局部地區有雷暴,41.0
142,Kawasaki,周六7/27,35.0,26.11,高雲間晴，局部多雲,5.0
143,Kawasaki,周日7/28,33.33,27.22,多雲轉晴，局部多雲,25.0
144,Kawasaki,周一7/29,36.11,27.22,酷熱，局部多雲,25.0
145,Kawasaki,周二7/30,32.78,24.44,高雲間晴，局部多雲,24.0
146,Kawasaki,周三7/31,30.0,25.0,多雲間晴，局部多雲,15.0
147,Kawasaki,周四8/1,33.89,26.11,大致晴朗，大部晴朗,8.0
148,Kawasaki,周五8/2,30.56,26.11,局部晴朗，局部多雲,25.0
149,Kawasaki,周六8/3,31.11,25.56,局部晴朗，局部多雲,21.0
150,Kawasaki,周日8/4,30.0,25.56,大致多雲，陣雨和雷暴,25.0
