id,city,date,high_temp,low_temp,detail_weather,humidity
131,Yokohama,今晚7/26,26.67,,一至兩場短時陣雨,55.0
132,Yokohama,周六7/27,33.33,25.56,高雲間晴，局部多雲,4.0
133,Yokohama,周日7/28,31.11,26.11,高雲間晴，局部多雲,24.0
134,Yokohama,周一7/29,33.89,26.67,局部地區有雷暴，局部多雲,40.0
135,Yokohama,周二7/30,32.22,24.44,高雲間晴，局部多雲,25.0
136,Yokohama,周三7/31,30.0,24.44,多雲間晴，局部多雲,15.0
137,Yokohama,周四8/1,33.89,26.67,大致晴朗，大部晴朗,25.0
138,Yokohama,周五8/2,30.56,26.67,局部晴朗，局部多雲,25.0
139,Yokohama,周六8/3,30.0,25.56,大致多雲，大部晴朗,25.0
140,Yokohama,周日8/4,30.0,25.56,雲量增加，可能有雨和雷暴,25.0
